#seq1	seq2	N_differences	%_differences
IGHV3-33-2	IGHV3-54	10	10
IGHV3-33-2	IGHV1-F	76	77
IGHV3-33-2	IGHV2-5	71	71
IGHV3-33-2	IGHV4-55	70	72
IGHV3-33-2	IGHV1-45	80	81
IGHV3-33-2	IGHV1-46	79	80
IGHV3-33-2	IGHV4-59	68	70
IGHV3-33-2	IGHV3-25	62	63
IGHV3-33-2	IGHV3-20	63	64
IGHV3-33-2	IGHV3-21	59	60
IGHV3-33-2	IGHV3-22	68	68
IGHV3-33-2	IGHV3-23	63	64
IGHV3-33-2	IGHV5-A	72	73
IGHV3-33-2	IGHV7-34-1	74	77
IGHV3-33-2	IGHV1-58	78	79
IGHV3-33-2	IGHV5-51	76	77
IGHV3-33-2	IGHV3-69-1	49	50
IGHV3-33-2	IGHV3/OR16-10	52	53
IGHV3-33-2	IGHV3/OR16-13	62	63
IGHV3-33-2	IGHV3/OR16-12	64	65
IGHV3-33-2	IGHV3-35	65	66
IGHV3-33-2	IGHV3-33	61	62
IGHV3-33-2	IGHV3-30	61	62
IGHV3-33-2	IGHV2-26	72	72
IGHV3-33-2	IGHV3-38	45	46
IGHV3-33-2	IGHV5-10-1	72	73
IGHV3-33-2	IGHV3-64D	63	64
IGHV3-33-2	IGHV1-68	80	81
IGHV3-33-2	IGHV1-69	80	81
IGHV3-33-2	IGHV3-38-3	45	46
IGHV3-33-2	IGHV1/OR15-1	81	82
IGHV3-33-2	IGHV1/OR15-5	71	73
IGHV3-33-2	IGHV1/OR15-9	81	82
IGHV3-33-2	IGHV2-10	79	80
IGHV3-33-2	IGHV4-61	67	67
IGHV3-33-2	IGHV2/OR16-5	72	72
IGHV3-33-2	IGHV3-43D	63	63
IGHV3-33-2	IGHV4-30-2	68	68
IGHV3-H	IGHV3-7	12	12
IGHV3-H	IGHV3-9	12	12
IGHV3-H	IGHV3-30-3	52	53
IGHV3-H	IGHV1-24	67	68
IGHV3-H	IGHV3-16	49	50
IGHV3-H	IGHV1-NL1	70	72
IGHV3-H	IGHV4-30-4	55	55
IGHV3-H	IGHV2-70	64	64
IGHV3-H	IGHV3-D	48	49
IGHV3-H	IGHV2-70D	65	65
IGHV3-H	IGHV3-62	25	25
IGHV3-H	IGHV3-64	48	48
IGHV3-H	IGHV3-66	13	13
IGHV3-H	IGHV7-4-1	62	63
IGHV3-H	IGHV5-78	65	66
IGHV3-H	IGHV4-B	57	58
IGHV3-H	IGHV7-81	66	67
IGHV3-H	IGHV3/OR15-7	50	50
IGHV3-H	IGHV3/OR16-9	13	13
IGHV3-H	IGHV3/OR16-8	48	49
IGHV3-H	IGHV3-73	51	51
IGHV3-H	IGHV3-72	49	49
IGHV3-H	IGHV3-71	50	50
IGHV3-H	IGHV3/OR16-6	54	54
IGHV3-H	IGHV3-74	12	12
IGHV3-H	IGHV1-8	63	64
IGHV3-H	IGHV1-38-4	70	71
IGHV3-H	IGHV1-2	58	59
IGHV3-H	IGHV4-39	54	54
IGHV3-H	IGHV4-34	46	47
IGHV3-H	IGHV4-38-2	57	58
IGHV3-H	IGHV4-31	57	57
IGHV3-H	IGHV4/OR15-8	59	60
IGHV3-H	IGHV3-48	4	4
IGHV3-H	IGHV3-49	52	52
IGHV3-H	IGHV3-47	21	21
IGHV3-H	IGHV1-C	70	71
IGHV3-H	IGHV3-43	16	16
IGHV3-H	IGHV1-69-2	64	65
IGHV3-H	IGHV3-NL1	14	14
IGHV3-H	IGHV4-28	61	62
IGHV3-H	IGHV1/OR21-1	68	69
IGHV3-H	IGHV6-1	69	68
IGHV3-H	IGHV3-53	14	14
IGHV3-H	IGHV3-52	50	51
IGHV3-H	IGHV3-54	59	60
IGHV3-H	IGHV1-F	64	65
IGHV3-H	IGHV2-5	67	67
IGHV3-H	IGHV4-55	43	44
IGHV3-H	IGHV1-45	67	68
IGHV3-H	IGHV1-46	61	62
IGHV3-H	IGHV4-59	44	45
IGHV3-H	IGHV3-25	33	34
IGHV3-H	IGHV3-20	15	15
IGHV3-H	IGHV3-21	3	3
IGHV3-H	IGHV3-22	54	54
IGHV3-H	IGHV3-23	13	13
IGHV3-H	IGHV5-A	62	63
IGHV3-H	IGHV7-34-1	68	70
IGHV3-H	IGHV1-58	66	67
IGHV3-H	IGHV5-51	64	65
IGHV3-H	IGHV3-69-1	0	0
IGHV3-H	IGHV3/OR16-10	14	14
IGHV3-H	IGHV3/OR16-13	16	16
IGHV3-H	IGHV3/OR16-12	56	57
IGHV3-H	IGHV3-35	50	51
IGHV3-H	IGHV3-33	53	54
IGHV3-H	IGHV3-30	52	53
IGHV3-H	IGHV2-26	66	66
IGHV3-H	IGHV3-38	47	48
IGHV3-H	IGHV5-10-1	62	63
IGHV3-H	IGHV3-64D	16	16
IGHV3-H	IGHV1-68	71	72
IGHV3-H	IGHV1-69	63	64
IGHV3-H	IGHV3-38-3	48	49
IGHV3-H	IGHV1/OR15-1	63	64
IGHV3-H	IGHV1/OR15-5	61	62
IGHV3-H	IGHV1/OR15-9	67	68
IGHV3-H	IGHV2-10	61	62
IGHV3-H	IGHV4-61	57	57
IGHV3-H	IGHV2/OR16-5	67	67
IGHV3-H	IGHV3-43D	15	15
IGHV3-H	IGHV4-30-2	56	56
IGHV3-7	IGHV3-9	18	18
IGHV3-7	IGHV3-30-3	12	12
IGHV3-7	IGHV1-24	52	53
IGHV3-7	IGHV3-16	24	24
IGHV3-7	IGHV1-NL1	75	76
IGHV3-7	IGHV4-30-4	71	71
IGHV3-7	IGHV2-70	74	74
IGHV3-7	IGHV3-D	51	52
IGHV3-7	IGHV2-70D	75	75
IGHV3-7	IGHV3-62	57	58
IGHV3-7	IGHV3-64	17	17
IGHV3-7	IGHV3-66	12	12
IGHV3-7	IGHV7-4-1	44	44
IGHV3-7	IGHV5-78	49	50
IGHV3-7	IGHV4-B	56	57
IGHV3-7	IGHV7-81	50	51
IGHV3-7	IGHV3/OR15-7	54	54
IGHV3-7	IGHV3/OR16-9	17	17
IGHV3-7	IGHV3/OR16-8	17	17
IGHV3-7	IGHV3-73	55	55
IGHV3-7	IGHV3-72	53	53
IGHV3-7	IGHV3-71	49	49
IGHV3-7	IGHV3/OR16-6	55	55
IGHV3-7	IGHV3-74	11	11
IGHV3-7	IGHV1-8	51	52
IGHV3-7	IGHV1-38-4	55	56
IGHV3-7	IGHV1-2	51	52
IGHV3-7	IGHV4-39	70	70
IGHV3-7	IGHV4-34	65	66
IGHV3-7	IGHV4-38-2	56	57
IGHV3-7	IGHV4-31	75	75
IGHV3-7	IGHV4/OR15-8	58	59
IGHV3-7	IGHV3-48	11	11
IGHV3-7	IGHV3-49	55	55
IGHV3-7	IGHV3-47	51	52
IGHV3-7	IGHV1-C	55	56
IGHV3-7	IGHV3-43	18	18
IGHV3-7	IGHV1-69-2	50	51
IGHV3-7	IGHV3-NL1	15	15
IGHV3-7	IGHV4-28	57	58
IGHV3-7	IGHV1/OR21-1	55	56
IGHV3-7	IGHV6-1	69	68
IGHV3-7	IGHV3-53	13	13
IGHV3-7	IGHV3-52	18	18
IGHV3-7	IGHV3-54	57	58
IGHV3-7	IGHV1-F	50	51
IGHV3-7	IGHV2-5	81	81
IGHV3-7	IGHV4-55	62	63
IGHV3-7	IGHV1-45	54	55
IGHV3-7	IGHV1-46	46	46
IGHV3-7	IGHV4-59	62	63
IGHV3-7	IGHV3-25	57	58
IGHV3-7	IGHV3-20	17	17
IGHV3-7	IGHV3-21	12	12
IGHV3-7	IGHV3-22	52	52
IGHV3-7	IGHV3-23	14	14
IGHV3-7	IGHV5-A	43	43
IGHV3-7	IGHV7-34-1	75	76
IGHV3-7	IGHV1-58	52	53
IGHV3-7	IGHV5-51	45	45
IGHV3-7	IGHV3-69-1	12	12
IGHV3-7	IGHV3/OR16-10	14	14
IGHV3-7	IGHV3/OR16-13	15	15
IGHV3-7	IGHV3/OR16-12	25	25
IGHV3-7	IGHV3-35	21	21
IGHV3-7	IGHV3-33	12	12
IGHV3-7	IGHV3-30	12	12
IGHV3-7	IGHV2-26	76	76
IGHV3-7	IGHV3-38	52	53
IGHV3-7	IGHV5-10-1	43	43
IGHV3-7	IGHV3-64D	18	18
IGHV3-7	IGHV1-68	56	57
IGHV3-7	IGHV1-69	46	46
IGHV3-7	IGHV3-38-3	51	52
IGHV3-7	IGHV1/OR15-1	52	53
IGHV3-7	IGHV1/OR15-5	48	48
IGHV3-7	IGHV1/OR15-9	52	53
IGHV3-7	IGHV2-10	75	75
IGHV3-7	IGHV4-61	74	74
IGHV3-7	IGHV2/OR16-5	79	79
IGHV3-7	IGHV3-43D	17	17
IGHV3-7	IGHV4-30-2	71	71
IGHV3-9	IGHV3-30-3	17	17
IGHV3-9	IGHV1-24	50	50
IGHV3-9	IGHV3-16	26	26
IGHV3-9	IGHV1-NL1	75	75
IGHV3-9	IGHV4-30-4	71	71
IGHV3-9	IGHV2-70	84	83
IGHV3-9	IGHV3-D	52	52
IGHV3-9	IGHV2-70D	84	83
IGHV3-9	IGHV3-62	58	58
IGHV3-9	IGHV3-64	16	16
IGHV3-9	IGHV3-66	53	53
IGHV3-9	IGHV7-4-1	43	43
IGHV3-9	IGHV5-78	52	52
IGHV3-9	IGHV4-B	57	57
IGHV3-9	IGHV7-81	49	49
IGHV3-9	IGHV3/OR15-7	55	55
IGHV3-9	IGHV3/OR16-9	15	15
IGHV3-9	IGHV3/OR16-8	17	17
IGHV3-9	IGHV3-73	54	54
IGHV3-9	IGHV3-72	54	54
IGHV3-9	IGHV3-71	52	52
IGHV3-9	IGHV3/OR16-6	61	61
IGHV3-9	IGHV3-74	16	16
IGHV3-9	IGHV1-8	49	49
IGHV3-9	IGHV1-38-4	54	54
IGHV3-9	IGHV1-2	48	48
IGHV3-9	IGHV4-39	71	71
IGHV3-9	IGHV4-34	70	70
IGHV3-9	IGHV4-38-2	57	57
IGHV3-9	IGHV4-31	73	73
IGHV3-9	IGHV4/OR15-8	58	58
IGHV3-9	IGHV3-48	13	13
IGHV3-9	IGHV3-49	54	54
IGHV3-9	IGHV3-47	53	53
IGHV3-9	IGHV1-C	54	54
IGHV3-9	IGHV3-43	11	11
IGHV3-9	IGHV1-69-2	48	48
IGHV3-9	IGHV3-NL1	17	17
IGHV3-9	IGHV4-28	58	58
IGHV3-9	IGHV1/OR21-1	53	53
IGHV3-9	IGHV6-1	72	70
IGHV3-9	IGHV3-53	54	54
IGHV3-9	IGHV3-52	32	32
IGHV3-9	IGHV3-54	59	59
IGHV3-9	IGHV1-F	48	48
IGHV3-9	IGHV2-5	83	82
IGHV3-9	IGHV4-55	67	67
IGHV3-9	IGHV1-45	52	52
IGHV3-9	IGHV1-46	46	46
IGHV3-9	IGHV4-59	68	68
IGHV3-9	IGHV3-25	61	61
IGHV3-9	IGHV3-20	10	10
IGHV3-9	IGHV3-21	14	14
IGHV3-9	IGHV3-22	56	56
IGHV3-9	IGHV3-23	14	14
IGHV3-9	IGHV5-A	48	48
IGHV3-9	IGHV7-34-1	74	74
IGHV3-9	IGHV1-58	50	50
IGHV3-9	IGHV5-51	49	49
IGHV3-9	IGHV3-69-1	12	12
IGHV3-9	IGHV3/OR16-10	16	16
IGHV3-9	IGHV3/OR16-13	20	20
IGHV3-9	IGHV3/OR16-12	27	27
IGHV3-9	IGHV3-35	21	21
IGHV3-9	IGHV3-33	19	19
IGHV3-9	IGHV3-30	17	17
IGHV3-9	IGHV2-26	80	80
IGHV3-9	IGHV3-38	53	53
IGHV3-9	IGHV5-10-1	48	48
IGHV3-9	IGHV3-64D	15	15
IGHV3-9	IGHV1-68	55	55
IGHV3-9	IGHV1-69	47	47
IGHV3-9	IGHV3-38-3	52	52
IGHV3-9	IGHV1/OR15-1	47	47
IGHV3-9	IGHV1/OR15-5	46	46
IGHV3-9	IGHV1/OR15-9	50	50
IGHV3-9	IGHV2-10	79	79
IGHV3-9	IGHV4-61	71	71
IGHV3-9	IGHV2/OR16-5	82	81
IGHV3-9	IGHV3-43D	9	9
IGHV3-9	IGHV4-30-2	71	71
IGHV3-30-3	IGHV1-24	47	47
IGHV3-30-3	IGHV3-16	27	27
IGHV3-30-3	IGHV1-NL1	71	72
IGHV3-30-3	IGHV4-30-4	68	68
IGHV3-30-3	IGHV2-70	72	72
IGHV3-30-3	IGHV3-D	53	54
IGHV3-30-3	IGHV2-70D	73	73
IGHV3-30-3	IGHV3-62	56	57
IGHV3-30-3	IGHV3-64	14	14
IGHV3-30-3	IGHV3-66	50	51
IGHV3-30-3	IGHV7-4-1	39	39
IGHV3-30-3	IGHV5-78	47	47
IGHV3-30-3	IGHV4-B	54	55
IGHV3-30-3	IGHV7-81	44	44
IGHV3-30-3	IGHV3/OR15-7	58	58
IGHV3-30-3	IGHV3/OR16-9	21	21
IGHV3-30-3	IGHV3/OR16-8	21	21
IGHV3-30-3	IGHV3-73	55	55
IGHV3-30-3	IGHV3-72	56	56
IGHV3-30-3	IGHV3-71	54	54
IGHV3-30-3	IGHV3/OR16-6	61	61
IGHV3-30-3	IGHV3-74	13	13
IGHV3-30-3	IGHV1-8	45	45
IGHV3-30-3	IGHV1-38-4	49	50
IGHV3-30-3	IGHV1-2	45	45
IGHV3-30-3	IGHV4-39	67	67
IGHV3-30-3	IGHV4-34	66	67
IGHV3-30-3	IGHV4-38-2	54	55
IGHV3-30-3	IGHV4-31	74	74
IGHV3-30-3	IGHV4/OR15-8	56	57
IGHV3-30-3	IGHV3-48	14	14
IGHV3-30-3	IGHV3-49	56	56
IGHV3-30-3	IGHV3-47	52	53
IGHV3-30-3	IGHV1-C	49	50
IGHV3-30-3	IGHV3-43	16	16
IGHV3-30-3	IGHV1-69-2	47	47
IGHV3-30-3	IGHV3-NL1	9	9
IGHV3-30-3	IGHV4-28	55	56
IGHV3-30-3	IGHV1/OR21-1	49	50
IGHV3-30-3	IGHV6-1	68	67
IGHV3-30-3	IGHV3-53	51	52
IGHV3-30-3	IGHV3-52	25	25
IGHV3-30-3	IGHV3-54	57	58
IGHV3-30-3	IGHV1-F	47	47
IGHV3-30-3	IGHV2-5	74	74
IGHV3-30-3	IGHV4-55	62	63
IGHV3-30-3	IGHV1-45	47	47
IGHV3-30-3	IGHV1-46	40	40
IGHV3-30-3	IGHV4-59	62	63
IGHV3-30-3	IGHV3-25	58	59
IGHV3-30-3	IGHV3-20	20	20
IGHV3-30-3	IGHV3-21	15	15
IGHV3-30-3	IGHV3-22	57	57
IGHV3-30-3	IGHV3-23	13	13
IGHV3-30-3	IGHV5-A	43	43
IGHV3-30-3	IGHV7-34-1	74	75
IGHV3-30-3	IGHV1-58	45	45
IGHV3-30-3	IGHV5-51	44	44
IGHV3-30-3	IGHV3-69-1	52	53
IGHV3-30-3	IGHV3/OR16-10	16	16
IGHV3-30-3	IGHV3/OR16-13	17	17
IGHV3-30-3	IGHV3/OR16-12	25	25
IGHV3-30-3	IGHV3-35	20	20
IGHV3-30-3	IGHV3-33	2	2
IGHV3-30-3	IGHV3-30	0	0
IGHV3-30-3	IGHV2-26	75	75
IGHV3-30-3	IGHV3-38	53	53
IGHV3-30-3	IGHV5-10-1	43	43
IGHV3-30-3	IGHV3-64D	15	15
IGHV3-30-3	IGHV1-68	49	50
IGHV3-30-3	IGHV1-69	41	41
IGHV3-30-3	IGHV3-38-3	53	54
IGHV3-30-3	IGHV1/OR15-1	46	46
IGHV3-30-3	IGHV1/OR15-5	44	44
IGHV3-30-3	IGHV1/OR15-9	46	46
IGHV3-30-3	IGHV2-10	73	73
IGHV3-30-3	IGHV4-61	73	73
IGHV3-30-3	IGHV2/OR16-5	80	80
IGHV3-30-3	IGHV3-43D	14	14
IGHV3-30-3	IGHV4-30-2	68	68
IGHV1-24	IGHV3-16	58	59
IGHV1-24	IGHV1-NL1	62	63
IGHV1-24	IGHV4-30-4	73	73
IGHV1-24	IGHV2-70	79	79
IGHV1-24	IGHV3-D	67	68
IGHV1-24	IGHV2-70D	79	79
IGHV1-24	IGHV3-62	69	70
IGHV1-24	IGHV3-64	49	50
IGHV1-24	IGHV3-66	68	69
IGHV1-24	IGHV7-4-1	34	34
IGHV1-24	IGHV5-78	45	45
IGHV1-24	IGHV4-B	63	64
IGHV1-24	IGHV7-81	36	36
IGHV1-24	IGHV3/OR15-7	69	69
IGHV1-24	IGHV3/OR16-9	51	52
IGHV1-24	IGHV3/OR16-8	50	51
IGHV1-24	IGHV3-73	66	66
IGHV1-24	IGHV3-72	68	68
IGHV1-24	IGHV3-71	69	69
IGHV1-24	IGHV3/OR16-6	71	71
IGHV1-24	IGHV3-74	50	51
IGHV1-24	IGHV1-8	21	21
IGHV1-24	IGHV1-38-4	33	33
IGHV1-24	IGHV1-2	21	21
IGHV1-24	IGHV4-39	73	73
IGHV1-24	IGHV4-34	72	73
IGHV1-24	IGHV4-38-2	63	64
IGHV1-24	IGHV4-31	75	75
IGHV1-24	IGHV4/OR15-8	66	67
IGHV1-24	IGHV3-48	51	52
IGHV1-24	IGHV3-49	69	69
IGHV1-24	IGHV3-47	71	72
IGHV1-24	IGHV1-C	33	33
IGHV1-24	IGHV3-43	48	48
IGHV1-24	IGHV1-69-2	13	13
IGHV1-24	IGHV3-NL1	46	46
IGHV1-24	IGHV4-28	62	63
IGHV1-24	IGHV1/OR21-1	24	24
IGHV1-24	IGHV6-1	78	77
IGHV1-24	IGHV3-53	68	69
IGHV1-24	IGHV3-52	61	62
IGHV1-24	IGHV3-54	74	75
IGHV1-24	IGHV1-F	13	13
IGHV1-24	IGHV2-5	80	80
IGHV1-24	IGHV4-55	71	72
IGHV1-24	IGHV1-45	26	26
IGHV1-24	IGHV1-46	17	17
IGHV1-24	IGHV4-59	72	73
IGHV1-24	IGHV3-25	72	73
IGHV1-24	IGHV3-20	50	51
IGHV1-24	IGHV3-21	50	51
IGHV1-24	IGHV3-22	71	71
IGHV1-24	IGHV3-23	49	50
IGHV1-24	IGHV5-A	38	38
IGHV1-24	IGHV7-34-1	62	63
IGHV1-24	IGHV1-58	29	29
IGHV1-24	IGHV5-51	38	38
IGHV1-24	IGHV3-69-1	67	68
IGHV1-24	IGHV3/OR16-10	65	66
IGHV1-24	IGHV3/OR16-13	53	54
IGHV1-24	IGHV3/OR16-12	52	53
IGHV1-24	IGHV3-35	51	52
IGHV1-24	IGHV3-33	47	47
IGHV1-24	IGHV3-30	47	47
IGHV1-24	IGHV2-26	81	81
IGHV1-24	IGHV3-38	69	70
IGHV1-24	IGHV5-10-1	38	38
IGHV1-24	IGHV3-64D	48	48
IGHV1-24	IGHV1-68	30	30
IGHV1-24	IGHV1-69	23	23
IGHV1-24	IGHV3-38-3	67	68
IGHV1-24	IGHV1/OR15-1	22	22
IGHV1-24	IGHV1/OR15-5	24	24
IGHV1-24	IGHV1/OR15-9	25	25
IGHV1-24	IGHV2-10	83	84
IGHV1-24	IGHV4-61	73	73
IGHV1-24	IGHV2/OR16-5	85	85
IGHV1-24	IGHV3-43D	48	48
IGHV1-24	IGHV4-30-2	74	74
IGHV3-16	IGHV1-NL1	73	74
IGHV3-16	IGHV4-30-4	75	75
IGHV3-16	IGHV2-70	83	83
IGHV3-16	IGHV3-D	53	54
IGHV3-16	IGHV2-70D	83	83
IGHV3-16	IGHV3-62	55	56
IGHV3-16	IGHV3-64	24	24
IGHV3-16	IGHV3-66	49	50
IGHV3-16	IGHV7-4-1	51	52
IGHV3-16	IGHV5-78	56	57
IGHV3-16	IGHV4-B	60	61
IGHV3-16	IGHV7-81	54	55
IGHV3-16	IGHV3/OR15-7	58	58
IGHV3-16	IGHV3/OR16-9	22	22
IGHV3-16	IGHV3/OR16-8	24	24
IGHV3-16	IGHV3-73	57	57
IGHV3-16	IGHV3-72	55	55
IGHV3-16	IGHV3-71	54	54
IGHV3-16	IGHV3/OR16-6	60	60
IGHV3-16	IGHV3-74	25	25
IGHV3-16	IGHV1-8	56	57
IGHV3-16	IGHV1-38-4	63	64
IGHV3-16	IGHV1-2	56	57
IGHV3-16	IGHV4-39	75	75
IGHV3-16	IGHV4-34	68	69
IGHV3-16	IGHV4-38-2	60	61
IGHV3-16	IGHV4-31	76	76
IGHV3-16	IGHV4/OR15-8	61	62
IGHV3-16	IGHV3-48	23	23
IGHV3-16	IGHV3-49	59	59
IGHV3-16	IGHV3-47	54	55
IGHV3-16	IGHV1-C	63	64
IGHV3-16	IGHV3-43	27	27
IGHV3-16	IGHV1-69-2	57	58
IGHV3-16	IGHV3-NL1	26	26
IGHV3-16	IGHV4-28	60	61
IGHV3-16	IGHV1/OR21-1	59	60
IGHV3-16	IGHV6-1	84	83
IGHV3-16	IGHV3-53	50	51
IGHV3-16	IGHV3-52	32	32
IGHV3-16	IGHV3-54	65	66
IGHV3-16	IGHV1-F	57	58
IGHV3-16	IGHV2-5	81	81
IGHV3-16	IGHV4-55	66	67
IGHV3-16	IGHV1-45	60	61
IGHV3-16	IGHV1-46	55	56
IGHV3-16	IGHV4-59	66	67
IGHV3-16	IGHV3-25	60	61
IGHV3-16	IGHV3-20	26	26
IGHV3-16	IGHV3-21	24	24
IGHV3-16	IGHV3-22	57	57
IGHV3-16	IGHV3-23	25	25
IGHV3-16	IGHV5-A	54	55
IGHV3-16	IGHV7-34-1	73	74
IGHV3-16	IGHV1-58	58	59
IGHV3-16	IGHV5-51	55	56
IGHV3-16	IGHV3-69-1	49	50
IGHV3-16	IGHV3/OR16-10	52	53
IGHV3-16	IGHV3/OR16-13	26	26
IGHV3-16	IGHV3/OR16-12	33	33
IGHV3-16	IGHV3-35	10	10
IGHV3-16	IGHV3-33	28	28
IGHV3-16	IGHV3-30	27	27
IGHV3-16	IGHV2-26	78	78
IGHV3-16	IGHV3-38	53	54
IGHV3-16	IGHV5-10-1	54	55
IGHV3-16	IGHV3-64D	25	25
IGHV3-16	IGHV1-68	61	62
IGHV3-16	IGHV1-69	56	57
IGHV3-16	IGHV3-38-3	53	54
IGHV3-16	IGHV1/OR15-1	59	60
IGHV3-16	IGHV1/OR15-5	52	53
IGHV3-16	IGHV1/OR15-9	57	58
IGHV3-16	IGHV2-10	74	75
IGHV3-16	IGHV4-61	73	73
IGHV3-16	IGHV2/OR16-5	81	81
IGHV3-16	IGHV3-43D	26	26
IGHV3-16	IGHV4-30-2	76	76
IGHV1-NL1	IGHV4-30-4	67	67
IGHV1-NL1	IGHV2-70	76	76
IGHV1-NL1	IGHV3-D	67	69
IGHV1-NL1	IGHV2-70D	76	76
IGHV1-NL1	IGHV3-62	73	75
IGHV1-NL1	IGHV3-64	70	71
IGHV1-NL1	IGHV3-66	67	69
IGHV1-NL1	IGHV7-4-1	69	70
IGHV1-NL1	IGHV5-78	69	70
IGHV1-NL1	IGHV4-B	70	71
IGHV1-NL1	IGHV7-81	67	68
IGHV1-NL1	IGHV3/OR15-7	75	75
IGHV1-NL1	IGHV3/OR16-9	73	74
IGHV1-NL1	IGHV3/OR16-8	72	73
IGHV1-NL1	IGHV3-73	74	74
IGHV1-NL1	IGHV3-72	76	76
IGHV1-NL1	IGHV3-71	71	71
IGHV1-NL1	IGHV3/OR16-6	76	76
IGHV1-NL1	IGHV3-74	71	72
IGHV1-NL1	IGHV1-8	60	61
IGHV1-NL1	IGHV1-38-4	65	66
IGHV1-NL1	IGHV1-2	59	60
IGHV1-NL1	IGHV4-39	67	67
IGHV1-NL1	IGHV4-34	68	70
IGHV1-NL1	IGHV4-38-2	70	71
IGHV1-NL1	IGHV4-31	68	68
IGHV1-NL1	IGHV4/OR15-8	71	72
IGHV1-NL1	IGHV3-48	74	75
IGHV1-NL1	IGHV3-49	73	73
IGHV1-NL1	IGHV3-47	71	73
IGHV1-NL1	IGHV1-C	65	66
IGHV1-NL1	IGHV3-43	74	74
IGHV1-NL1	IGHV1-69-2	63	64
IGHV1-NL1	IGHV3-NL1	72	73
IGHV1-NL1	IGHV4-28	71	72
IGHV1-NL1	IGHV1/OR21-1	60	61
IGHV1-NL1	IGHV6-1	74	73
IGHV1-NL1	IGHV3-53	67	69
IGHV1-NL1	IGHV3-52	73	75
IGHV1-NL1	IGHV3-54	76	80
IGHV1-NL1	IGHV1-F	63	64
IGHV1-NL1	IGHV2-5	75	75
IGHV1-NL1	IGHV4-55	69	71
IGHV1-NL1	IGHV1-45	57	58
IGHV1-NL1	IGHV1-46	60	61
IGHV1-NL1	IGHV4-59	66	68
IGHV1-NL1	IGHV3-25	76	78
IGHV1-NL1	IGHV3-20	74	75
IGHV1-NL1	IGHV3-21	75	76
IGHV1-NL1	IGHV3-22	72	72
IGHV1-NL1	IGHV3-23	73	74
IGHV1-NL1	IGHV5-A	70	71
IGHV1-NL1	IGHV7-34-1	55	57
IGHV1-NL1	IGHV1-58	61	62
IGHV1-NL1	IGHV5-51	70	71
IGHV1-NL1	IGHV3-69-1	70	72
IGHV1-NL1	IGHV3/OR16-10	69	71
IGHV1-NL1	IGHV3/OR16-13	71	72
IGHV1-NL1	IGHV3/OR16-12	72	73
IGHV1-NL1	IGHV3-35	70	71
IGHV1-NL1	IGHV3-33	71	72
IGHV1-NL1	IGHV3-30	71	72
IGHV1-NL1	IGHV2-26	74	74
IGHV1-NL1	IGHV3-38	69	71
IGHV1-NL1	IGHV5-10-1	70	71
IGHV1-NL1	IGHV3-64D	70	71
IGHV1-NL1	IGHV1-68	62	63
IGHV1-NL1	IGHV1-69	60	61
IGHV1-NL1	IGHV3-38-3	67	69
IGHV1-NL1	IGHV1/OR15-1	61	62
IGHV1-NL1	IGHV1/OR15-5	53	55
IGHV1-NL1	IGHV1/OR15-9	61	62
IGHV1-NL1	IGHV2-10	79	80
IGHV1-NL1	IGHV4-61	67	67
IGHV1-NL1	IGHV2/OR16-5	76	76
IGHV1-NL1	IGHV3-43D	74	74
IGHV1-NL1	IGHV4-30-2	68	68
IGHV4-30-4	IGHV2-70	40	40
IGHV4-30-4	IGHV3-D	69	69
IGHV4-30-4	IGHV2-70D	41	41
IGHV4-30-4	IGHV3-62	68	68
IGHV4-30-4	IGHV3-64	68	68
IGHV4-30-4	IGHV3-66	52	52
IGHV4-30-4	IGHV7-4-1	79	79
IGHV4-30-4	IGHV5-78	74	74
IGHV4-30-4	IGHV4-B	33	33
IGHV4-30-4	IGHV7-81	75	75
IGHV4-30-4	IGHV3/OR15-7	75	75
IGHV4-30-4	IGHV3/OR16-9	69	69
IGHV4-30-4	IGHV3/OR16-8	76	76
IGHV4-30-4	IGHV3-73	73	73
IGHV4-30-4	IGHV3-72	77	75
IGHV4-30-4	IGHV3-71	58	58
IGHV4-30-4	IGHV3/OR16-6	76	76
IGHV4-30-4	IGHV3-74	70	70
IGHV4-30-4	IGHV1-8	74	74
IGHV4-30-4	IGHV1-38-4	80	80
IGHV4-30-4	IGHV1-2	75	75
IGHV4-30-4	IGHV4-39	6	6
IGHV4-30-4	IGHV4-34	29	29
IGHV4-30-4	IGHV4-38-2	33	33
IGHV4-30-4	IGHV4-31	3	3
IGHV4-30-4	IGHV4/OR15-8	37	37
IGHV4-30-4	IGHV3-48	74	74
IGHV4-30-4	IGHV3-49	74	74
IGHV4-30-4	IGHV3-47	60	60
IGHV4-30-4	IGHV1-C	80	80
IGHV4-30-4	IGHV3-43	70	70
IGHV4-30-4	IGHV1-69-2	72	72
IGHV4-30-4	IGHV3-NL1	68	68
IGHV4-30-4	IGHV4-28	35	35
IGHV4-30-4	IGHV1/OR21-1	74	74
IGHV4-30-4	IGHV6-1	57	56
IGHV4-30-4	IGHV3-53	52	52
IGHV4-30-4	IGHV3-52	72	72
IGHV4-30-4	IGHV3-54	70	70
IGHV4-30-4	IGHV1-F	72	72
IGHV4-30-4	IGHV2-5	42	42
IGHV4-30-4	IGHV4-55	36	36
IGHV4-30-4	IGHV1-45	73	73
IGHV4-30-4	IGHV1-46	76	76
IGHV4-30-4	IGHV4-59	26	26
